onset,error_onset,subj_idx,error_duration,response,stim,rt
550.9367448540688,nil,18979,nil,1,SS,1.2484743019267626
556.9767024062785,nil,18979,nil,1,US,1.1525636501246481
563.0166881961923,nil,18979,nil,1,CP,0.784378380572889
571.069987410141,nil,18979,nil,1,SS,0.8829284783314506
577.1233121687583,nil,18979,nil,1,CP,1.0216203380805382
581.1766262996425,nil,18979,nil,1,SS,0.9682832743492327
587.2299473195017,nil,18979,nil,1,CP,0.9068167938312399
593.2966165391663,nil,18979,nil,1,CP,1.0642132245193352
597.3498905964552,nil,18979,nil,1,CS,1.0343318751947663
601.403198245418,nil,18979,nil,1,SS,1.021441130349558
607.4565053479564,nil,18979,nil,1,CS,0.9276747450821858
611.509820209747,nil,18979,nil,1,CP,0.8987062693631742
619.563137055713,nil,18979,nil,1,CP,1.1572246332943905
