Condition	Onset	Duration	Response	Error_onset	Error_duration
3	244.53241241941464	1.2955279900540972	1	nil	nil
1	252.57237031853128	1.0955262685608886	1	nil	nil
4	258.6256918497277	1.3140451869378467	1	nil	nil
1	262.66565473385526	1.1380712519678582	1	nil	nil
4	268.7189959063155	1.301096237179081	1	nil	nil
1	274.7589521711666	1.245157827930825	1	nil	nil
3	282.7989221708658	1.2769301707455725	1	nil	nil
1	290.8389037267268	1.15685259226575	1	nil	nil
4	298.87886812580837	1.2048344338722927	1	nil	nil
1	304.9188595103219	1.3328155185033665	1	nil	nil
2	310.95881875595296	0.9322720189693428	0	310.95881875595296	0.9322720189693428
1	315.01214143815355	0.8954148387292662	1	nil	nil
2	323.06543164960544	1.817543907598747	1	nil	nil
4	329.10543730035397	1.161915598712767	1	nil	nil
3	333.1454041638676	1.3538093554175248	1	nil	nil
2	337.1853782251676	0.9939667652572552	0	337.1853782251676	0.9939667652572552
1	345.23870752363655	0.8764080028875014	1	nil	nil
2	351.2920159105265	2.0465718645666584	0	351.2920159105265	2.0465718645666584
1	355.3319992119432	1.0625492124443099	1	nil	nil
2	359.3853081211962	1.401672293686488	1	nil	nil
2	365.4252825895587	1.3850984058392442	1	nil	nil
1	371.4652712519676	0.9694642256290535	1	nil	nil
3	375.5185951944575	1.700096098817994	1	nil	nil
3	381.558573200052	1.4761733995728719	1	nil	nil
2	387.598567135223	0.9320221327666331	1	nil	nil
3	395.65186376843553	1.166536249611454	1	nil	nil
4	399.69183912912695	0.942639378778722	1	nil	nil
2	407.745152290478	0.9686759191488363	1	nil	nil
2	415.79844696558007	1.331273853758148	1	nil	nil
3	419.83842789079495	0.7952076228957594	1	nil	nil
3	425.8917420948676	0.9899787375047708	1	nil	nil
4	429.94507125597806	0.664961867474176	1	nil	nil
4	437.9983478809693	0.9950570930127469	1	nil	nil
1	442.0516884809351	0.8942012642999089	1	nil	nil
3	448.10500533793197	1.6568369464303032	1	nil	nil
3	456.1449637002577	0.7522795837135163	1	nil	nil
4	460.19828757356686	1.1073382147403663	1	nil	nil
4	468.25160450375483	0.6299155906917804	1	nil	nil
3	474.30490469425195	0.7361205085271649	1	nil	nil
2	482.35821814134897	1.0592133378115705	0	482.35821814134897	1.0592133378115705
4	488.41153219502894	1.0377149821033527	0	488.41153219502894	1.0377149821033527
1	492.4648540500707	1.1283752654428554	1	nil	nil
4	496.51816705300826	1.514538607766326	1	nil	nil
4	502.5581339265482	1.0590554196451194	1	nil	nil
1	510.61149894925757	1.0449160107882562	1	nil	nil
3	514.6647628821222	1.520138882483252	1	nil	nil
4	522.7047216475	1.4320752945186541	1	nil	nil
1	528.7446919590129	1.2160334823890935	1	nil	nil
2	532.7846907749224	1.487440852625241	1	nil	nil
1	536.824687175528	0.9999634385746958	1	nil	nil
1	542.8779796027632	0.9461723247675309	1	nil	nil
2	546.9312871945779	1.4452104091678848	1	nil	nil
1	550.9712789721173	1.189207408335733	1	nil	nil
4	557.0112729524058	1.837199879686068	1	nil	nil
2	563.0512485968377	1.2769226481113947	1	nil	nil
1	571.0912205456241	1.0204535838538504	1	nil	nil
2	577.1445200713863	1.5676259146371194	1	nil	nil
1	581.1845153681106	0.9994494179809408	1	nil	nil
2	587.2378153149721	1.5136497879466333	1	nil	nil
2	593.2777812410391	1.802099389406294	1	nil	nil
3	597.3177794012372	1.2420850259177314	1	nil	nil
1	601.3577572193424	1.265990013936289	1	nil	nil
3	607.3977479932623	1.473474184621864	1	nil	nil
2	611.4377157470999	1.1695297346072948	1	nil	nil
2	619.4777165381645	0.9534300063164665	1	nil	nil
3	623.5310265332516	0.924359185474259	1	nil	nil
4	627.5843259196502	0.9347487883374015	1	nil	nil
3	633.6376666168701	1.201283982193445	1	nil	nil
3	641.677620464412	1.1051433230732073	1	nil	nil
2	645.7309450235114	0.8277095649643798	1	nil	nil
3	649.7842654708788	0.9509929465905316	1	nil	nil
4	657.8375499283129	1.1290810004111336	1	nil	nil
4	665.8908622775443	0.8995554607527083	1	nil	nil
2	669.9441642867885	1.2388588265371254	1	nil	nil
3	675.9841696818696	1.0141842970153903	1	nil	nil
